,content,lable
64,여자살인범들은 거의 비슷한 게 있는데 수면 유도제 아니면 수면제 농약 청산가리 등 독극물이 주로 사용된다는 점 우리나라 최초 사이코페스 점수 만점을 기록을 기록한 엄인숙이라는 여자 사형수가 있는데 정말 잔인 함 우선 무척 미인었다고 하고 순진하게 생겼다고 함 그걸 이용해 남자에게 접근 수면제를 먹이고 잠이 들면 바늘로 눈을 찔러 장님을 만든다고 함 그다음 일부러 자 빠뜨려 뇌진탕을 만들고 식물인간 상태가 되면 뜨거운 기름을 얼굴에 부었다고 함 그런 식으로 상해보험이니 사망보험금이니 타 먹으려고 자기 엄마까지 눈을 바늘로 찔러 장님을 만들고 보험금을 타먹은 희대의 싸이 코페스년이었음,0
65,아 ㅅㅂ 음주운전 쓰ㄹㅔ기들 걍 뒤져라,0
66,ㅂㄷㅂㄷ 대지 말고,0
67,마!! 옛날 사진으로 사기치지 말고 저 시절로 돌아가라! 장가 가야지👏,1
68,아 ㅠㅠ 오빠 너무 잘생겼어요 .. ㅠㅠ 오빠 때문에 롤 시작했다가 등급 아이언 4 나오고 접었어요,1
69,이제 이상민 빚쟁이 캐릭터도 끝난 거 아냐?이 제 블쌍 한 척 그만해라 솔까 저시키가 빚쟁이들에게 좋은 팁 알려줬지 탁 재훈은 걍 여자나 꼬시면서 살고 김수미는 왜 케 많이 나와 무슨 욕쟁이 할망구 컨셉이냐,0
70,조민기 남자답노 한녀들 참교육 린 정한 다 오,0
71,여자 때문에 남자가 피해보네,0
72,난 니 얼굴 보면 ㅈ이 싸그라든다ㅡㅡ,0
73,자꾸 말아 먹는데 왜 나오지;;쟤들 키울 돈으로 나 같음 신인 그룹 만들 겟노 이기야,0
74,게 이야 내 친구들이 순경이 많은데 순경의 미래는 으 떻노 ㅅㅌㅊ노???,0
75,본인이 자신 있으니까 나온 거 겠지 ㅎ 뜨거울 나인데 ㅎ,1
76,어제 넘웃겻어 여 ㅋㅋ 특히 도 전골든벨 ㅋㅋㅋ 코요테 영원하라,1
77,1상으로 기사나오는 건 첨봄 ㅋㅋ,1
78,진영이 형님은 우리 곡의 하술사 lYG행닝을 이기고 오셨으면 좋겠다는 마음입니다 행님~,1
79,저런 식의 여론 조성은 결국 남자들 피해로 돌아 옴 나중에 가봐라 진짜 후회한 다 여가 부시 발년들은 철 지난 성교육으로 ㅈㄴ 남자들은 이상성 욕자니 니들이 성욕을 해소하는 모든 방법은 다 불법적이고 음성적이다라고 하는 마당에 뭐가 해결되겟냐 ㅋㅋ 야동 사이트도 다 막는 나라다 생각보다 더 병신 같은 생각을 윗대가리들은 하고 있음,0
80,관람객의 90 프로 이상이 이 해 못하는 영화를 감독 탓이 아닌 관람객 탓으로 돌리는 안타까운 사람들....,1
81,순간 베르통 언인줄.....그가 아직도 내 머릿속에 있다........ 그립다..슈퍼얀....,1
82,개최국은 자동 진출.,0
83,혐짤 표시해라 ㅅㅂ 기분 더럽노,0
84,이 거 아직도 하네?,1
85,정준영이 나이 많아서 너 싫어 하겠는데...무슨 헛 소리냐,0
86,이 와중 타짜는 일본감 ㅋㅋ 정신 빠진 녀ㄴ,0
87,성형할 때부터 뭐지 싶었는데.... 은 근 자존감 낮 나 봄. 근 10년간 세계를 재패한 빙상 여왕이라 외모 따위 개나 주라고 해도 수긍x 1000만번 할 판국인데 성형하고 남친이 강남.,0
88,응 너 똥차 꺼져,0
89,역시 한국인은 남 잘 되는 꼴을 못 봐,0
90,얼굴 왜 저래?,0
91,맨날 못생기고 더럽고 늙은 기 안 이시언 같은 한남퇘지들만 나오다가 깨끗하고 깔끔한 풋풋한 남자 아이돌 황민현 나오니깐 화면이 달라지는 거봐라~~ 그냥 보는 거 자체가 재밌음 ㅋㅋ 역시 남자는 잘생기고 어리고 능력 있고 봐야 함~~,0
92,저걸 보고 사과를 떠올린다면 뇌 어딘가에 인식 장애가 있는 거 아닐까?,1
93,진짜 이렇게 애가지고도 축복 못 받기도 힘들 듯..,1
94,하여튼 전라도 놈들은 뒷배가 좋아 ㅉㅉ,0
95,사인은 재앙이지 뭐,0
96,저런 새끼는 그냥 무인도에 조두순이랑 둘이 살게 해라,0
97,터미널에서 옆에 버스 후진 넣고 출발하는데... 내가 탄버스 앞으로 가는 줄 ...,1
98,좌좀 정서만 없으면 ok,0
99,김일성이 중국말 러시아 말을 하는 조선족 짱깨라메?? 그거 보고 충격 먹음 시 발 지금 우리가 중국이랑 싸우고 있다는 거자나,0
100,노무현 실루엣이면 뭐 어쩌라 구 놈현이 신이냐 아주 어거지네,0
101,계집이란 어차피 사 내의 손을 타게 되는 것을.. 그리고 사 내로 태어나서 계집질도 하는 거지. 계집년 한두 명 때문에 대한민국 영화계 거물 하나가 또 사라지는구나!,0
102,이쯤 되면 3년이나 버틴 안 재현이 대단하단 생각이 든다,1
103,쓰레기는 쓰레기 취급을 당하는구나,0
104,앞머리 있으니 예쁘잖아..,1
105,진영아 원더걸스 재결합 가자,1
106,재혼한 지는 12주 짼 데 임신은 32주째면 ...하여 간에,0
107,우리 찜니 넘조아,1
108,대가리를 밟혀봐야 정신 드는 유형,0
109,처음엔 신동욱 욕햇는데 생각해보니까 주변에 할아버지 같은 분 계셨음 ㅜㅠ 무섭다,1
110,어휴... 저 쓰레기 젤을 빠는 넘이 있네고추 썪는다,0
111,둘이 사겨요?,1
112,요즘 신종사기가 이 거 임틀 딱들이 40대 아줌 매미 에게 결혼하면 10억대 아파트 명의 준다고 꼬심 알고 보면 빚이 10억 이상 임근데 좋다고 결혼해서 틀니 노후 뒤치닥거리 함 물론 틀니 뒤지면 이자 못 내서 나 앉음 노후 대책 ㅆㅅㅌㅊ,0
113,아무리 이 찬원 1등이라고 난리쳐도 안 되는 거야! 왜? 대한민국 에 찬원이 처럼 부르는 가수는 많으니까 하지만 임영웅이나 안성훈 처럼 부르는 가수는 없으니까 그게 팩트니까 !!,1
114,대단하네요. 일억오천 헉~~김호중씨 좋겠어요. 저런 팬들 있어서~수해 입으신 분들 빨리 복구 해야 할텐대 이런 분들이 있어서 다행이네요.,1
115,기자 제목 다는 꼬라지도 극 혐 어 휴 여자네,0
116,전라남도 화순,1
117,신천지 인가보네 ㅉㅉ,1
118,어려워 요 진짜 어려워요,1
119,여자 얼굴이 궁금햄,1
120,저의 자 내구도 존 나 의심됨 ㅋ글고 바닥에 고 정도 아니네 대가리가 있으면 저딴걸 설치할리가....,0
121,빨개이 새끼들 다 묻어버려야!,0
122,애둘이 다 둥맘인가요. 제가 지금 다섯째 임신 중인데요 둘을 다둥맘이라 하니 ㅋㅋ걍 웃음이 ㅋㅋ,1
123,와 개이쁨 ㅌ,1
124,1절만 해라 짤 게에 또 글 올리지 말고 ㅋㅋㅋ,0
125,저 정도 응디는 운동 안 해도 가능하다 시 발 보정 레깅스쳐 입엇는데 저 정도는 다 나와,0
126,결국 남자를 죽게 하는 건 뇨쟈들...요즘 여자들 순결 지키고 한 남자 한테 올인 하는 여자들 잇는지...원나잇 하는 세상에 ...여자들 니들은 남편 이랑 할 때 아다라시 엿나 ㅋㅋ,0
127,기레기. 길 다가 돌 맞는데 누가 가만히 있냐??? 쓰레기 어 그로꾼 유트브 정지당해야지 사회악이다,0
128,재밌다!!!! ㅜㅜ,1
129,좌빨 영화 납시요 개 돼지들 선동시키기 딱이요,0
130,큐브가 그렇게 사 내 연애 많이 한다며?,1
131,연기도 생각도 자꾸 죵답이네,1
132,조인성 연기 ㅈㄴ 못함 ㅇㅈ??,0
133,노령연금 무상진료 혜택 보는 개돼지가 세금 내는 우리보다 훨씬 많아서 글쌔다,0
134,사람들 그렇게 오지랖을 떨더니 잘 살고 있나보네,1
135,둘 다 싸까지 없고 둘 다 똑같이 보임 바람 핀놈이나 혼자 당하기 억울하니 세상에 고 자질르는 년이나 둘 다 똑바로 사세요,0
136,진짜 분위기 이쁘다 얼굴도 이쁘고,1
137,뇌물 먹고 자살한 고 노무현 대통령이 분명히 봉하마을 부엉이 바위에서 지켜보고 있을 것이다.,0
138,왜 이리 부들부들 거리는 거냐? ㅋ ㅋ ㅋ,0
139,애쌔끼 몽타쥐 하곤 깝 쭞깝쭉 주둥이 질하고 자 빠졌네 야 이놈아야 이쁜 부선이 망사 빤스나 하나 사주고 뻰질이 하고 물꽊꽊이 놈 끌어내라,0
140,차두리라고 하면 되지.. 세찌는 머야...,1
141,음주운전 시베리안 도 그 새끼. 그리고 아이 엄마는 아이들을 왜 밖에 기다리게 했는지도 이해 안 간다.,0
142,축하드려 요~~~ 행복하게 사시고 대장암 두 얼른 완치 하세요!!!,1
143,뭔 핀란드 야 ㅆ. ㅂ,0
144,탄핵을 위한 촛불을 듭시다,1
145,장위안한 테 카메라 들이 대고 물어보면 재밌겠다. 만약에 중국 욕하면 장 위안도 인체 신비전에서 언제나 볼 수 있을 텐데 ㅎㅎ,0
146,대깨문들은 국산차 지 ㅋ,0
147,스포츠 머리 난이도 존 내 높다. 옆머리 뜨는 것은 다운펌하는 게 맞다.셀프 컷 하면 뒷머리 좃 같다.,0
148,오늘도 김치녀 출~동,0
149,와씨 탐난다,1
150,잘했다 이쁘다,1
151,섹스는 더불어 강간 당한테 배워라. 그 분야 최고 권위자 집단이다. ㅋ,0
152,이휘재 드디어 나갔냐? 이휘재 꼴 보기 싫어서 안 봤는데 다시 봐야겠네~,0
153,박나래 유재석 강호동과 3대 엠씨에 연예 대상 성훈하고 썸 밥 블레스 유 메인 꿰차고 완전 올해 대박이네요,1
154,학교 다닐 때 싹수 보이면 쳐맞고 개선되야 하는데 개조 옻 같은 학생 인권 땜시 세상이 개판되고 있다. 자 유가 남 인권 침해해도 되냐? 창작의 자유가 방종이냐? 쳐맞을 것들 투성이다,0
155,니 돈으로 갚아줘 대한민국 세금 남아도냐?? 미친 포퓰리즘이 나라 말 아쳐 먹는다.. 설마 저 말에 또 속으 표주는 놈들 없겠지??,0
156,나무 주방 나중에 곰팡이 어쩔.,1
157,고 김주혁님 돌아가셨을 때 김주혁님 기사로 인터넷 도 배 되니까 그 난리치던 엑소의 개집들이었지 아마? ㅋㅋ,0
158,죄 없는 공익제보자 테러하면 집회가 아니라 폭동 일어날 줄 알아라 군필문 베충들아 저게 군대에서 가능한 일이냐? 감히 상상조차 할 수 없는 일인데,0
159,와 진짜 하메스는 경기 지배하는 게 지 리더라 롱 패스 하나하나가 다 쭉쭉 나 감 이번 에 버튼 볼 만하다,1
160,드디어 오피셜 ㅊㅊ 근데 이미지가 왜 생 강형 느낌이 나지?,1
161,홍진영 귀에서 뭐 이어폰 같은 거 빼던 데 제작진이 뒤에서 조종하고 있는 거 아님?? 짜고 치는 고스 돕 ..,1
162,ㅈㄴ 작위적인 느낌,1
163,도득놈들...부동산..중계업자들...,1
164,강동주도 나와야 하는 거 아님?,1
165,할 말이 없노 ㅋㅋ 아이큐 두자릿수 예상한다,0
166,둘이 사귀는구나 ㅠㅠ 잘 어울리는데 너무 부럽다,1
167,기레기 넘 또 나섰네. 지금 쓰레기 배추량을 봐라. 조금이라도 줄 여야 한다. 다른 기자들은 이렇게 안 썼던 데 완전 소비자 . 마켓팅하는 기업 다 망하는 것처럼 썼네.. ㅎㅎ,0
168,좆 같은 김치년들한테 선택받는 게 메리트 있냐. 선택해도 거부다,0
169,하여간 흉기 언플 존 나함. 이 제 안 먹히지 자국민이 호구도 아니고,0
170,누군지 밝히셈 ㅋ 그리고 걘 연예계에서 영구 퇴출가자 정유라랑 다를 바 없잖아ㅋ,0
171,전생에 나라를... 부러우면 지는 건데 ! 쳇~,1
172,원작이 워낙 기 괴해서 그런지 원작을 이기고 비빌 만큼은 아니고 더빙도 많이 과장된 톤으로 어색한 느낌이었다. 그냥 적당적당하게 괜찮았다,1
173,니미 씹이나 차단해라.,0
174,ㅇㅇ 동탄아지매 2명이랑 만나봤지 뇌가 없는 대신 이쁘다,0
175,재앙이 오려나 참 미묘가 시기하네요,0
176,여러분 현재 한국이 적화 통일 당하기 일촉즉발입니다 이것은 하나님을 잊은 한국에 임하는 하나님의 벌입니다 이제 모두 깨어나 회개하고 예수님 믿으셔서 웃으며 예수님 만 납시다! 천국에서 만나요!,1
177,쓰벌 새끼들아 보지마 보면서 왜 작가들에게 상처를 주나,0
178,에스더 정말 마음이 따듯하고 큰 사람 같네요,1
179,죽은 세월호 구원파 교주 유병언이 조까사위 딸로 환생한 듯,0
180,기사를 봐도 뭔 소리인지 모르겠네. 게 다가 저 당시 세균전이라니... 판타지라도 이건... 농담이지?,1
181,김원희는 왜 애를 않놓노 불임인가,0
182,명예훼손으로 고소하면 답 나온다,1
183,방금 유동근 아재 회장 여자 한테 엄포 놓을 때 포스 ㅎㄷㄷ간만에 정도전 때 포스 나오더만 진작 이렇게 만들지 이상하게 캐릭터를 만들어 놓아서.,1
184,ㅋㅋ 매갈페 미년들 연하남은 커녕 그 성질에 평생 누구 하나 사귈 수도 없어 보이는 구만 ㅋㅋ,0
185,이건우 저 저 아직도 때리고 있네 다음 주 까지 때릴 기세여;;,1
186,왜 여자만 항상 독박육아를 해야 하는지 모르겠다,1
187,뿌염도 컨셉 이것져 거슬리던데 암튼 연기 잘 해 용 공효진씨와 도베프맴버로 알고 있는데 촬영장 분위기 좋겠어여,1
188,휴가 미 복귀 연장은 아빠 말고 꼭 엄마가 전화 걸도록 해요 치과 정신과 다 됩니다,1
189,점점 이 뻐지 네ㄷㄷ 와우,1
190,친선대사도 중졸에게는 시키지 말자.,0
191,닥쳐 틀 딱련아,0
192,갈수록 호감ㅋ,1
193,이곳이 전설의 시작이고 이 근의 인 기 원인 지점,1
194,우아 지오 누나를 비방하더니 ㅋㅋ 이젠 생시람 잡네 보수집권 멸망 아베 대변인 주적은 북한이지만 니넨 쪽 바리 제일 나쁘다는 걸 명심해라,0
195,사실 황제원이 주인공임,1
196,씨가 일단 좋아야 하고 밭도 좋아야 한다,0
197,역시 더듬어 내로 남불 새끼들 실망시키지 않는 구만 ㅋㅋ,0
198,최진혁 연기보소 ㄷㄷ,1
199,윤서이니야 시 시때때로 열폭하는 애라 그렇다지만 여기서 정우성까는 애들은 왜 그럼??? 유엔 난민 홍보대사라서 SNS에 홍보 좀 한 거 갖고.. 윤서인 얘도 웃긴 게 그러면 지도 평소에 입 바른 소리라도 하든가.,0
200,개종자들,0
201,빠가야로~~ 안전하게 너희 나 이 빠이 쳐드세요!,0
202,가세연에서 퍼온 거 보솤ㅋㅋ 가세연 똥은 알지??가세연도 아줌마 부대가 점령 했더라 김세의가 주예지 팬이라니까 아줌마들 부들부들,0
203,이런 일이 네이버 1 등 할 것까지 있나? ㅜㅜ,1
204,제목 읽기 개 힘드 네일 단 ㅁㅈㅎ줌,0
205,온 니유라고 하고 다른 사람과... 행복하게 잘 사세요...,1
206,절대 아무것도 사주지 말자.,1
207,에휴.. 결국 손주도 못 보고 가시는구나.. 명복을 빕니다,1
208,아니 얼굴 하얗게 화장 하고 점 찍고 마른 인 먼 노 코스프레 하면 인종 차별이야??아니 그 장의 사 본인도 다른 인종들이 코스프레 하는 거 추천 하는 마당에 왜 제3자가 난리야.???,1
209,그건 기술자가 아니라 기 사다 개병신아 제 발 좀 ㅋㅋ,0
210,얘는 건성으로 사과하고 방송~항상 이런 식 ㅋㅋ 진심이라곤 눈 꼽만치도 안 보이고..,1
211,다솜도 인기가 많군 또 질투글이 배댓인 거보니.. 도대체 어디가 설정 같다는 거냐? 나는 다른 연예인들보다 더 꾸밈없이 혼자 라이프 보여주는 것 같아서 보기 좋더만,1
212,박한별 수고 했어요 책임감 있게...잔잔한 슬픔 표현도 잘했는데 연기력이 어쩌고..,1
213,김주혁님 죽은 지 얼마나 됬다고... 이건 쫌 아닌 것 같네요..,1
214,디마리아는 메시아가 아닌 그냥 디 마리아 라고 불러라,1
215,아니길 바랬는데. 그런 식으로 친 하지 않길 바랬는데... 둘 다 어렸을 때 가수가 되기 위해 열심히 했던 사람들인데 왜 지금은 이렇게 된 거야...,1
216,힘내세요~ 응원합니다!!,1
217,Just way you are 빌리좆엘,0
218,ㅋㅋㅋ 난 그냥 벤츠 탈런다 돈 있음 뭐 하러 현대타냐 걍 다 하는 소리야 요즘 사설 AS도 많아서 수리비도 별로 안 비싸 고장도 적고,1
219,대마는 절대로 하지 말자,1
220,각 집단마다 저런 쓰레기들 존 나 많음.,0
221,누가 악플을 달긴? 80년대 최악의 세대라 불리어는 여자들이지.,0
222,ㅇㄴㅇ 맴버 중 한 명은 친할 법한데 ..ㅇㅅㅇ 라던지... 무슨 일이 있었던 거냐,1
223,빨갱이 새 끼 들,0
224,법부터 가 지롤이 네 법안 똑바로 안 만드냐? 국 개의원들..,0
225,존 나 무섭내,0
226,너무 잘생겼오 진짜 루😢😢💕 김인딕이 체 고양❗,1
227,갓지민! 나의 최애 여배우 입니다. 꼭 나와주시길,1
228,어떤 기사에는 설현 닮았다고 ㅋㅋㅋ,1
229,쵸비 어머님도 롤 하시나봐,1
230,리뷰 이천개 이상 달릴 동안 4.8 유지해봤는데 저런 새끼들은 히스토리 들어가 보면 어떤 가게든지 다 불만 투성이 임다 버린 데 개 병신 같은 새끼 ㅋㅋㅋ병신 보존의 법칙이라 생각한 다 물론 대응은 잘 해야지,0
231,백상까지 조작한 sm.문재인 들어서 고 방송 문화 경제 등 비리와 부패가 더 심각하고 망하고 있다. 조작사기댜 sm 비리와 조작으로 인기구걸하는데도 조사 없는 문재인 끌어내려야지,0
232,부동산 하락을 조장하는 유투버들은 그냥 놔두나 형평성 문제다,1
233,개돼지 집단 개한민족의 실상. 사촌이 땅 사면 배 아픈 민족이라 앞에 선 웃어도 뒤에서 호 박씨 까는 게 일 상임. 소름돋는 개한 민족 무섭다.,0
234,그래도 이번에 동생 많이 차분해졌던데. 저번처럼 그러진 않더라 머리는 깔끔하게 묶는 게 위생상 좋긴 합니다 ㅎㅎ,1
235,현아 진짜 보기 싫다,1
236,미 쳣나????!!!! 다른 사람이 빌린 돈을 왜 내가 낸 세금으로 갚아준다는 거야?! ㅁㅊ.. 개빡치네.아주 다 국가 세금으로 니들 생색 다 내고 저소득 계층 사람들만 자기들 빚 갚아준다고 좋아라 하겠네.. 개빡친다고 신발 ㅏㅏㅏ!!!,0
237,뭐 웬디가 다쳤다고? 이런 또 내가 병문안을 가야겠군,1
238,머찌네!년들은 금 테 두르고.놈들은 노끈이냐?이게 진정 니까 짓들이 추구하는 평등. 공정.이냐?문 빠 변신놈.년들아!,0
239,대깨문들은 죄다. 싸 그리 한 마리도 남김 없이 잡아서. 똥통에 쳐 넣고 농약에 프킬라쥐약 락스 청산가리술쳐먹고 오바이트 한 것 살충제 유리가루 넣어서 애미추와 국조 인 재문. 이 잡것들 주둥이에 쳐 넣어야 하는디...,0
240,몰르면 그럴 수도 있지 겁나 예민ㅡㅡ,1
241,복지사회에 앞서 자본주의 시스템 내 도덕성 강화가 우선이란 생각이 드는데 저만 그런가요?,1
242,구장을 잡아도 어째 맨날 바람 겁나게 부는 대를 잡았냐,1
243,이 엘리야 착 한 역해줘요 ㅠㅠ 겁나이쁜 디ㅠㅠ 참 좋은 시절?때 팬이였다구 요 ㅠㅠㅠ,1
244,진짜 부족한 게 뭔지. 볼 때마다 감탄해요. 나의 롤 모델 안현모씨.,1
245,알고 보니 이 미 M친놈은 포 풀리즘의 대 마왕이었네,0
246,기자가 여자네요.. 화사가 저런 춤 추면 걸 크러쉬라고 할 거면서.. 그녀들의 이 중성이란..,0
247,일단 정소영부터 누군지 모르겠음,1
248,하늘 같은 남편한테 반 말하는 것만 봐도 구해선이 죽 일련이 다 남편이 니 몸종이냐 밸아먹을 논아,0
249,참고로 강호동이 이 만기 그때 딱 한 번 이기고 그 뒤로 다 졌다더라 ㅋㅋ 1박 2일 때도 그렇고 다음주 2부에 또 붙음 초기 대!!!,1
250,BBW 취향이긴 한데 가슴은 빵빵해서 좋다 이기,0
251,연희 좋아 감바 때,1
252,ㅇㅎ 과거도 현재도 민족의 식 애국심 존 나 안드는 건 마찬가진 가지네,0
253,나도 여자지만 난 너무 저러는 거 아니라고 본다... 왜 저러는 거야??? 진짜???? 사람 왜 또 몰아세워??? 죽을 죄를 진 거 아닌데??? 어지간 하네...ㅡㅡ보지마!!! 안 보면 되잖아!! 맞는 말이 네!! 너희가 더 같은 여자로써 불편해!!!,1
254,그냥 둘은 서로 좋아하고 사랑한 거 뿐인데 왜 남의 연애에 간섭하는 거야 진짜 불쌍하다,1
255,짐 없이 1인 생활하는 남자분께 적당합니다.,1
256,이병헌 조승우 하면 2000년대 부터 젊은 배우들 중 연기력으론 투탑이라 생각했는데 올해로 이 병헌은 벌써 51살 ㅋㅋ 근데 전혀 그렇게 안 느껴져 신기해,1
257,꽁초보다 역겨운 죄인이 잠아,0
258,뽑힌 애들도 안 됐다..주작 논란에 탈락 연생들이 더 인기 있고.. 앞으로 우째 됄지,1
259,얼굴도 완전 미인인데다 ㅠㅠ 똑똑하기까지 정말 부럽습니다,1
260,사진땜시 기분 잣 같아져서 ㅁㅈㅎ,0
261,스트레스가 원인일 듯 문재앙이 책임 저라,0
262,자발적 무자녀 부부 좋을까?나 이 들어갈수록 아이가 행복 이던 데,1
263,더 자숙하세요. 음주운전은 살인미수!,1
264,별 시 덥지 않은 악플들은 모냐,1
265,많이 무섭진 않은데 약간 징그러운 거 싫어하시는 분들은 조금 참고해주세요 ㅎㅎ 너무 잼 있었어요!! 강추추 추춫추추,1
266,ㅋㅋㅋ 이젠 하다 하다 신문도 코미디하네ㅋㅋㅋ,1
267,실제로 김대중이라고 했는데 김재중이라고 한 거라고 구라친 거라는 생각은 안 해봣 노 ?,0
268,김유석은 아버지가 아니라 형님 같고 장미희는 꽃 같이 곱게 설정해 놓곤 왠 치매?,1
269,그냥 노래만 해줘요 ㅠㅠ,1
270,핵이 쁨... 이전에 황정음이랑 나왔을 때 찹쌀떡이었는데 배역이랑... 다시 그런 배역 맡았으면 .,1
271,저거 다 이케아 제 싸구려 아니니? ㅋㅋ 먼 요양병원 의 자 몇 개 가져다 놓고 핀란드 래 푸핫 ㅋㅋ,1
